Sl.No.,Poem,Source,Primary
2501,नया साल~चमक रहे हैंहमारे स्वागत मेंदिन के नए पन्नेइन्हीं में लिखनी है हमेंअपनी कहानियाँदेना है अपना बयानकि इन्हें बचना हैआग की लपटों सेख़ून के धब्बों से~,Hindi,Happiness
2502,बनारस~दो प्याली चायकुछ किस्सेऔर तुम्हारी हँसी चखकरन जाने क्योंअसी की शामयाद आती हैन तुम साकीन मैं ग़ालिबबस बातों-बातों मेंये ज़िन्दगीबनारस हो जाती है।~,Hindi,Sadness
2503,अमूर्त का चेहरा अनन्त है~अमूर्त का चेहरा अनन्त हैऔर अनन्त एक अमूर्तन असमाप्तऐसे में कवियों को चाहिएकि वे प्रेमियों के प्रति कृपया अतिरिक्त सहानुभूति रखें!~,Hindi,Love
2504,मेरी बेटी~आँख की बूँद-सीयह कड़कीमेरी बेटीकरुणामयीममतामयीघास में बसी ओस-सीमुझ में शामिलया मैं उसमें शामिलगुंधे आटे की लोईमुलायम पर ठोसआश्वस्ति भरा स्पर्श ।~,Hindi,Love
2505,"एक मुक्तक~किधर चला है?  इधर एक रात बसता जागरजनेवाले ग्रजता है क्या, बरसता जारुला-रुला के ग़रीबों को हँस चुका कल तकमेरी तरफ़ से अब अपनी दसा पै हँसता जा॥~",Hindi,Philosophy
2506,बाहर खड़खड़ भड़भड़ शोर~बाहर खड़खड़भड़भड़ शोरभीतर झलफलभोर अँजोरबाँधी डोरबटोरकाल कीओर-छोरसौंपाबचा-खुचा जीवनफिर तुमको ।फूटा स्रोतसभी दिशाएँविस्मित घोरअछोर ।~,Hindi,Nature
2507,कि अपना ख़ुदा होना~ग़ुलामों कीज़ुबान नही होतीसपने नही होतेइश्क तो दूरजीने कीबात नही होतीमैं कैसे भूल जाऊँअपनी ग़ुलामीकि अपना ख़ुदा होनाकभी भूलता नहीं तू...~,Hindi,Sadness
2508,परिवर्तन~उम्मीद औरनाउम्मीद के बीचजो कुछ भी थाधंस गयासंशय के दलदल मेंविष्वास कीनन्हीं गौरया कोलील गया कुछ ३अपरिवर्तित है दिनचर्याफिर भीसब कुछ बदल गया है~,Hindi,Fear
2509,"टूटा हृदय~कहीं से टूटा भी हृदय अपना नित्य अपनारहेगा । भूले भी पथ पर इसे छोड़ कर जोचलेगा, भोगेगा । क्षण क्षण कहानी अवश सीसुनाएगी गाथा, मुखर मुख होंगे सुरस से~",Hindi,Sadness
2510,"दादी अम्माँ~हलवा खाने वाली अम्माँ,लोरी गाने वाली अम्माँ ।मुझे सुनातीं रोज़ कहानी,नानी की हैं मित्र पुरानी ।पापा की हैं आधी अम्माँ,मेरी पूरी दादी अम्माँ ।~",Hindi,Love
2511,पत्थर होना बेहतर है~तुम क्या गईंमैं बेसुरा हो गयाजीवन-संगीत और वस्तुगत आकर्षणसब बुरा हो गयामैं पँक्तियों के खो जाने पर भी रोया हूँतुम तो समूची स्त्री थीं~,Hindi,Sadness
2512,"वर्षा राग-1~बरसे मेघ भरी दोपहर, क्षण भर बूंदें आईंउमस मिटी धरती की साँसे भीतर तक ठंडाईंआँखें खोलें बीज उमग कर गगन निहारेंक्या बद्दल तक जा पाएंगे पात हमारे?~",Hindi,Happiness
2513,आज़ादी~बच गई शिकार होने सेख़ुश है चिड़ियाअब उड़ने की ख़्वाहिश परक़ब्ज़ा है बहेलिए काचिड़िया के लिएआज़ादी का अर्थ है पिंजरासुरक्षित हैपिंजरे में चिड़िया।~,Hindi,Patriotism
2514,धूल~कल तकपैरों के नीचेजीवन तलाशती धूलजाग उठीपाकर हवा का स्पर्शचढ़ गई धरती सेआसमान तकफैल गयाधूल का अपना संसारबंद हो गईघूरती आँखेंउसका सामना करने केडर से~,Hindi,Mixed
2515,पत्ते की शिराओं में~पत्ते कीशिराओं मेंख़ून दौड़ता था।पत्ते की शिराओं मेंख़ून जमता था।पत्ता काँपता था।पत्ता टूटता था।पत्ता चीख़ता था।पत्ताधीमे-धीमेदम तोड़ता था।~,Hindi,Sadness
2516,अग्नि-5~जलाती नहींपकाती है अग्निआंवें में घटधरती में बीजदेह में आत्माअग्नि रचती हैजल-थल-नभ-वायुघट मेंबीज मेंआत्मा मेंखोजती हुई रास्ताअपनी भास्वरता का !~,Hindi,Nature
2517,समय का चेहरा~कुत्ते को घास खातेगाय को हड्डी चबातेदेखा मैंनेआज शामकूड़ाघर के पासभूख के सिर बंधेगा परिवर्तन का सेहराकैसा-कैसा होता जा रहासमय का चेहरा...~,Hindi,Sadness
2518,"मिस्टर पाल~मिस्टर पाल, मिस्टर पाल,गए खेलने को फुटबाल।नाटे, मोटे मिस्टर पाल,उस दिन दिखला गए कमाल।मारी शाट् उड़ा फुटबाल,खुद भी गिरे उछलकर पाल।~",Hindi,Happiness
2519,रात~रातख़ुद से कर रही है बात ।शब्दों की बिसात परख़ुद को ही शह ख़ुद से ही मात ।कौन हैजो नींद को जगाए हुए है ?कौन हैजो आधी रात को कह रहा है शुभ प्रभात !~,Hindi,Philosophy
2520,ग़म क्या~ग़म क्या जो आसमान है मुझसे फिरा हुआमेरी नज़र से ख़ुद है ज़माना घिरा हुआमग़रिब ने खुर्दबीं से कमर उनकी देख लीमशरिक की शायरी का मज़ा किरकिरा हुआ~,Hindi,Sadness
2521,रोशनी ढोता जिस्म~क्या है इन जुगनुओं कारहस्य ? नहीं जानतानहीं जानना चाहतामुझे अच्छा लगता है कि कोई जिस्मरोशनी ढोता हो औरअन्धेरे में चिनगी बना घूमता हो ।~,Hindi,Happiness
2522,भूलन कांदा~कहते हैपैर पड़ते ही भूलन कांदा परभूल जाता है आदमी सब कुछयाजंगल के देवताओं नेभूलन कांदा के गुणों को सिरजा हैसिर्फ और सिर्फ आदिवासियों के लिए!!~,Hindi,Nature
2523,कविता - 14~यह गाँव है साहब।यहाँ दोपहर छोटीऔर साँझ लम्बी होती है।यहाँकुत्ते भौंकते हैं तोलोग घर से बाहर निकल आते हैंयहाँ कुत्तों के भौकने से फर्क पड़ता है।~,Hindi,Love
2524,खिड़की~उसकी खिड़की परलोहे की सलाख कोपहली बारलपेटाअँखुए ने।ओह! बेलयह क्या किया!नवजातगंधातेमृणाल कोतूने लपेटा सलाख से।किसके गले में डाल दँये आदिवासी बाहें!~,Hindi,Sadness
2525,"छाये नभमंडल मैं, सलज सघन घन~छाये नभमंडल मैं, सलज सघन घन,कारे पीरे श्वेत रंग, धारतै रहत हैं।'लाल' जू कहत, त्यौंही चहकि चुरैल ऐसी,चंचला जवाल जाल, जारतै रहत हैं॥~",Hindi,Nature
2526,अन्धकार का बबूल~आस-पास झर गयागुड़हल का फूलबींध गया देहअन्धकार का बबूलएक भीड़ सन्नाटागन्धहीन मनपानी का डूबा-सालग रहा बदनआँखों में कसक रहीधूल सिर्फ़ धूल ।~,Hindi,Sadness
2527,ख़ुदारा! न दो बदगुमानी का मौका~खुदारा ! न दो बदगुमानी का मौक़ा।कहलवा के औरों से पैग़ाम अपना॥हविसकार आशिक भी ऐसा है जैसे--वह बन्दा कि रख ले ख़ुदा नाम अपना॥~,Hindi,Fear
2528,दुख~दुखजमीन हैएक बीज साजिसमेंकुनमुनाता हैसुखलहर है दुखअनंत सागर कीएक मछली-सा जिसमेंडूबता-उतरता हैजीवनअंधेरे मेंप्रकाश कीटोह लेता हुआन थकने वालाहाथ है-दुख।~,Hindi,Philosophy
2529,सिन्धु का टोना~1समुद्र तलेसूर्य को देखा मैंनेजल चुराते ।2चन्द्र की सत्ताज्वार-भाटा में डोलेसमुद्र सारा ।3सिन्धु का टोनासूर्य की किरणों सेवारि हो सोना ।-0-~,Hindi,Nature
2530,माँ-1~मेरी कविताओं में अक्सरपत्नी होती हैया होती है अनाम प्रेमिकामाँ नहीं होती केवलकैसे कहूं--चाहता हूं जब भीशुरू करना तुमसेकविता दरक जाती है!(7.6.97)~,Hindi,Mixed
2531,"चुप रहने वाले~चुप रहने वालेजब चुप कर दिये जाते हैंतो चुप्पी का अर्थ होता हैएक खतरनाक सन्नाटाशब्दों का काटा हुआतब भले ही बच जाए,बचता नहींकोई चुप्पी का काटा।~",Hindi,Fear
2532,"चाँद के आँसू~बारहा चाँद से हमने की बातें,कभी मुस्काए कभी रोए संग,हमें तो आ गया...आँसुओं को पीने का हुनर ,चाँद के चेहरे से मगर...आँसुओं के निशान पोछूँ कैसे?~",Hindi,Sadness
2533,मेरी राहों के~मेरी राहों केजो जुगनू हैंवो तेरे हैंतेरी आँखों केजो अँधेरे हैंवो मेरे हैछू सकता नहींकोई गम तुझकोक्यूंकितुझ पर दुआओं के जोपहरे हैंवो मेरे हैं~,Hindi,Love
2534,जानत नहिं लगि मैं~जानत नहिं लगि मैं मानिहौं बिलगि कहैलीजिये न छेहु निरगुन सौं न होइ नेहुगोकुल के लोग पैं गुपाल न बिसार्यौ जाइकीजिए न रारि ऊधौ देखिये विचारि काहु~,Hindi,Devotion
2535,मोनालिसा-3~कितनी वीरान आँखें हैं तुम्हारीमोनालिसाजाने क्या खोजतीं देखतींजीवन का कोई छोरयाअधूरी-कथा कोईसूत जिसके उलझे पड़े हैंयहाँ से वहाँ तकन जाने कहाँ तक..~,Hindi,Sadness
2536,यकीन~यकीन जानो!एक दिन सिंड्रेला की तरहअनजाने हीतुम अपने एक पाँव की जूतीगुमाँ कर लौटोगीऔर उस दिनतुम्हारा पाँव खोजते हुएकिस्मततुम्हारा दरवाज़ा खटखटाएगी।~,Hindi,Happiness
2537,"आँखों में रहना~दुख का पारावार भले होजीवन-गति लाचार भले होहे सूरजहे चांद-सितारोआँखों में रहना।मतिभ्रम का बाज़ार भले होहे समुद्रहे निर्झर, नदियोआँखों में रहना।~",Hindi,Sadness
2538,भोली इच्छाएं-4~छुरे और छर्रेबंदूक और भालेराइफल और रॉकेटआग लगे और गल जाएंपटड़ियां बन बिछ जाए सारा लोहातोड़ने वालों की छाती पर दौड़ूंजोड़ने वालों की बन कर रेल.~,Hindi,Love
2539,सच~सच होता ही है कड़वा सचसच छुपता ही नहीं छुपाने से ।।सच बोलता है जो हमेशाजाता है वह इस ज़माने से ।।सच को पकड़ कर जो चलता हैपीछे रह जाता है वह ज़माने में ।।~,Hindi,Sadness
2540,ऎसा क्यों होता है?-6~ऎसा क्यों होता है-कि होने के शोर मेंकुछ भी नहीं हो पाताऔरफिर भी कवि को यह भ्रमहोता रहता हैकि वहकविता लिख रहा हैऔर इसलिएवहकवि बना हुआ है~,Hindi,Fear
2541,ठोकरें~पहली ठोकरउसके क्रोध का कारण बनी।दूसरी नेउसमें खीझ पैदा की।तीसरी ठोकर नेकिया उसे सचेत।चौथी ने भरा आत्मविश्वासउसके भीतर।अब नहीं करता वह परवाहठोकरों की!~,Hindi,Patriotism
2542,"आते हैं आने वाले~ये दुनिया हैआते हैं आनेवालेजाते हैं जानेवाले,सेतु नहीं हैफिर भीइस पार से उस पार तकउस पार से इस पार तकआते हैं आने वाले......-1997 ई0~",Hindi,Philosophy
2543,"पिल्ला~नीतू का था पिल्ला एक,बदन पे उसके रुएँ अनेक।छोटी टाँगें लंबी पूँछभूरी दाढ़ी काली मूँछ।मक्खी से वह लड़ता था,खड़े-खड़े गिर पड़ता था!-साभार: दुनिया सबकी~",Hindi,Love
2544,"ऊँघता बैठा शहर~धूप नेढाया कहरफूल घायलताल सूखेहैं हवा के बोल रूखे,बो रहा मौसमज़हरधूप नेढाया कहरहर गलीहर मोड़ धोखेबंद कर सारे झरोखे,ऊँघता बैठाशहरधूप नेढाया कहर~",Hindi,Sadness
2545,खजुराहो~आकाश की निरभ्रता मेंअपना भव्य शिखर उठाएतुम एक अट्टालिका जैसेइन्द्रजाल की तरहसम्मोहित करतेखुद मेंएकपूरा खजुराहो होअजब सी आनंद कीअनुभूति से भर देते हो~,Hindi,Nature
2546,"अयाचित झोंका~हो गया कम्पित शरद के शान्त, झीने ताल-सातनआह, करुणा का अयाचित एक झोंकासान्त्वना की तरह मन की सतह पर लहरा गयाकहाँ से उपजा ?कहाँ को गया ?~",Hindi,Love
2547,अग्नि-2~धैर्य नहीं है तुम्हारेअग्निथकती नहीं तुमनश्वरता पी-पी कर ?लेकिनबतलाओ तो अग्नि !तुम नश्वरता को प्राण देती होया अपने लिएनश्वरता के प्राण लेती हो ?~,Hindi,Nature
2548,"ओ केरल प्रिय-1~ऐसी मनहर शामकि जिसमेंताड़-सुपारीनारिकेल,कटहल,केले केहहराते हैं अंतरिक्ष तकहरे समन्दर...मेरा सब अभिमान तिरोहितमैं कुर्बानदेखकर ऐसी संध्या लोहित~",Hindi,Nature
2549,मुहाने पर नदी और समुद्र-2~नदीअपने पूरे पानी सेलिख रही थी — समुद्रसमुद्रअपने पूरे पानी सेलिख रहा था — नदीपर ऐसा क्यों थाकि दोनों काकहीं नामोनिशान नहीं था~,Hindi,Mixed
2550,त्रिपथगा-1~निकल स्वर्ग सेपृथ्वी पर नीचेप्रवाहमयीजाना पतालतीन तलों काघर जिसकाघर भी ऎसाजिसमें आनाजाना जिससेपाहुन जैसेपर रहना जब तकरहना ऎसेजैसे रहतीजल में मीन।~,Hindi,Devotion
2551,उम्र~उम्र.....कुछ यूँ बहीजैसे नदी कातेज बहावउम्र.....न जानेकहाँ हुआ गुमतेरा -मेरामैं और तुमउम्र.....तन्हा रास्तातन्हा ही हैदुनिया का मेलाजाए हर कोई अकेला ।~,Hindi,Sadness
2552,कुछ भी नहीं बदला~सन्दूक से पुराने ख़त निकालती हूँकुछ भी नहीं बदला...छुअनएहसाससंवेदना!पच्चीस वर्षों के पुराने अतीत मेंसिर्फ़उन उंगलियों का साथछूट गया है...~,Hindi,Sadness
2553,याद~उन बारिशों को याद करोजो तुम्हारी उदास रातों मेंलगातार झरती रहींऔर वायलिन बजाते उस दोस्त कोकैसे भूल सकते होजो उन रातों मेंतुम्हारे सिरहाने बैठा होता था !​​~,Hindi,Love
2554,डर~बुढ़ाते हुए चाँद से पूछा मैंनेक्या तुम्हें भी लगता है डर?चाँद मुस्कुरायाबोलादोस्त...हर चलती हुई चीज़ को लगता है डरकहीं किसी भी क्षणअचानक रुक जाने का डर...~,Hindi,Fear
2555,लघु आलोचक~धरतीहै आकाश परप्रेम टिकाविश्वास पर ।जब सेचाँद हुआ हैओझलतब सेनज़रपलास पर।सबकीआँखेंइधर-उधरउनकीटिकी गिलास पर ।लघुआलोचकबरस रहा हैबाबातुलसीदास पर।~,Hindi,Mixed
2556,"एकात्मा~एक से घटा एकतो बताइएबचा क्या?शून्य?गलत!सही जवाब है..एक।दो जीव मिलकरजब एक हो जाते हैंवज़ह कोई भी क्यों न हो,एक जब हट जाता है, तोएक तो बचता ही है!!~",Hindi,Mixed
2557,एक मित्रता~किताब खुलीकवि को देखाकवि नेआँखें मिलींहैरानी हुईफिर पहचानविचार — एक की आँख से छलकेदूसरी में चमके।सदियों को जोड़तीएक मित्रता हो गईप्राचीन कीनवीन से ।~,Hindi,Mixed
2558,कैरम बोर्ड~काली और सफ़ेद गोटहमेशा लड़ती नहीं रहेंगीअलग-अलग नहीं रहेंगी’क्वीन’ का साम्राज्य डूबेगाचार पाकेटॊं के समुद्र मेंलाशें नहीं उतराएंगीकाली और सफ़ेद।~,Hindi,Mixed
2559,"उल्टा अखबार~गदहे ने अखबार उलटकरनजर एक दौड़ाई,बोला-गाड़ी उलट गई हैगजब हो गया भाई।बंदर हँसकर बोला-देखो,उल्टा है अखबार,इसीलिए उलटी दिखती हैसीधी मोटर कार!~",Hindi,Mixed
2560,पुरखे~इक बिन्दु आता हैजहाँ से शब्दएक ही दिशा में मुड़ते हैंएक अन्य बिन्दु आता हैजहाँ वे खो देते हैंचलने की इच्छायहाँ वे बैठ जाते हैंऔर अपने पुरखों कामनन करते हैं~,Hindi,Mixed
2561,काग़ज़ हरिया गया~मैंने जब भीफ़क्क सफ़ेद कागज़ पर लिखा —प्रेम !कागज़ धूसर हो गयालिखा — दुःखकागज़ हरिया गयाआदमी तो ठीककागज़ का रंग बदलनामेरी समझ से परे हैं~,Hindi,Mixed
2562,"प्रेम गली है साँकरी~अन्त वही अथप्रेम वही पथवही ठिकानाकहाँ को जानावही, वही थावही नहीं थामुझसे मिलकरख़ुद को पाकरमैं ही मैं थावो ही वो थादेख रहा थानज़र बचाकर।~",Hindi,Mixed
2563,"लहर थाह लेती है~लहर-बहरएक लहरलहर सागर की ।सागर अथाहअथाह जलराशि'लहर ठहर ज़रा,'पुकार-पुकार हारेंगेलहर कभी रूकती है क्या !लहरथाह लेती है सागर की-1998 ई0~",Hindi,Philosophy
2564,विदा~यादों को भीविदा कहने कावक़्त आएगाइच्छा और उदासीजैसे पक्के रंग भीछूट जाएँगेपानी सेखाली घासों की तरहसूख जाएँगी जब यादकरुणा के जल को भीविदा कहने का वक़्त आयेगा~,Hindi,Sadness
2565,"जीवन जीने की प्यास~हत आस्थालहू में लथपथपराजित सैनिक कीकुहनियों के बल, श्लथमृतवत साँप-सी रेंगनदो बूंदों की हँपहँपाती प्यास-जीवन की,जिजीविषु की,ऎसी जिजीविषा !~",Hindi,Patriotism
2566,उजाला बाँटते हैं~ज़िन्दगी भर चापलूसी के पत्ते चाटते हैंअपनी ग़लती पर दूसरों को डाँटते हैंयह एहसान नहीँ तो और क्या हैअंधेरे मे रहने वाले उजाला बाँटते हैं~,Hindi,Sadness
2567,संकल्प~चट्टानों पर गिरती बर्फ़ठंडा करना चाहती है पाषाण कोरोज़-रोज़ गिरकरबनती जाती हैमोटी सतह बर्फ़ कीलेकिन चट्टान मेंउष्मा का संकल्पउसे बर्फ़ होने से बचाता है।~,Hindi,Patriotism
2568,आहट~तुम्हारे आने कीहल्की सी आहट सेधड़कने बिखरने लगती हैंगजल बनकरठीक उसी पलजिंदगी अपने होने काअहसास देती हैहाँ ठीक उसी पलमेरी जिंदगी शुरू होती  है!~,Hindi,Happiness
2569,मैंने पूछा~मैंने पूछातुम क्यों आ गईवह हँसीऔर बोलीतुम्हें कुरूप सेबचाने के लिएकुरूप हैज़रुरत से ज़्यादाधूपमैं छाया हूँज़रूरत से ज़्यादा धूपकुरूप है ना?~,Hindi,Love
2570,तुम्हारा होना-1~तुम हो यहीं आस-पासजैसे रहती हो घर मेंघर से दूरयह एक अकेला कमराभरा है तुम्हारे होने के अहसास सेहोनासिर्फ़ देह का होना कहाँ होता है !~,Hindi,Love
2571,"हमारी दोस्ती बहुत गहरी थी~हमारी दोस्ती बहुत गहरी थीजिसको लोहा कहा गया थामगर जब उतरे बर्ग़े-बहारदोस्ताना मोर्चा खा गया था= बहार के पत्ते,= जंग, rust~",Hindi,Sadness
2572,वह कैसे कहेगी~वह कैसे कहेगी – हाँ!हाँ कहेंगेउसके अनुरक्त नेत्रउसके उदग्र-उत्सुक कुचाग्रउसकी देह की चकित धूपउसके आर्द्र अधरकहेंगे – हाँवह कैसे कहेगी – हाँ ?~,Hindi,Love
2573,साँध्य-गीत~टूट गईधूप की नसैनीतुलसी के तलेदिया धर करएक थकन सोगई पसर करदीपक की ज्योतिलगी छैनीआँगन मेंधूप-गन्ध बोकरबिखरीचौपाइयाँ सँजोकरमुँडरी से उड़ीकनक-डैनी~,Hindi,Nature
2574,चाहत ख़्वाबी~चाहत ख़्वाबीसमझ क़िताबीकाली बदलीरात नक़ाबीचुभती ख़ुशबूदर्द गुलाबीख़ालिस बातेंकाम खि़ज़ाबीइश्क़ करे क्याजे़हन हिसाबीतन सूफ़ी कामन क़स्साबी~,Hindi,Love
2575,"तुमने कहा था-4~हमारा प्रेम एक दुख हैजैसे पृथ्वी पर दूसरे दुख हैंवे भी हमारे ही दुख हैंहमने दुख गिने नहीं, जो मिले भोग लियेक्योंकि प्रेम सबसे बड़ा दुख है~",Hindi,Sadness
2576,आखिर हम आदमी थे~इक्कीसवीं सदी केआरंभ में भीप्यार थावैसा हीआदिमशबरी के जमाने सातन्मयतावैसी ही थीमद्धिमथा स्पर्शगुनगुना...आखिरहम आदमी थे... इक्कीसवीं सदी में भी~,Hindi,Love
2577,"नंदू को जुकाम~बहुत जुकाम हुआ नंदू को,एक रोज वह इतना छींका।इतना छींका, इतना छींका,इतना छींका, इतना छींका।सब पत्ते गिर गए पेड़ के,धोखा हुआ उन्हें आंधी का!~",Hindi,Happiness
2578,सर्वानुमति~सर्वानुमति सेसरकार चलाने वालों ने कहाअब सर्वानुमति से हीकी जायेगी किसी की हत्यासर्वानुमति से ही होगाअब किसी का बलात्कारगठबन्धन दौर कीयही राजनीति है~,Hindi,Anger
2579,भोला शंकर-3~सर्दकँपकपी भरे दिनकी सुबहबच्चे को माँकाम पर जाने से पहलेफटी कमीज पहनाकरकाला टीका लगाती हैविश्वास है उसेकाले टीके की ताक़तबच्चे कोसर्दी सेबचाती है~,Hindi,Love
2580,जतन~आते हैं जब वेतो लगता है तुम मेरे पास होमुझ में से होकरनिकलते हुए भी बाहर-पोंछता नहीं आँसुओं कोसूखने से उन्हें बचाने का जतन करता हूँसो बहते रहोकि बचा सकूँ।~,Hindi,Sadness
2581,"पीरी परि देह छीनी~पीरी परी देह छीनी, राजत सनेह भीनी,नैन पिचकारी ज्यों चल्यौई करै रैन-दिन,कहाँ लौं बखानों ’घनआनँद’ दुहेली दसा,तिहारे निहारे बिन, प्रानन करत होरा,~",Hindi,Mixed
2582,मुफ़लिसी~यह उनकी मुफ़लिसी का ताज़ा व्याकरण हैकि उनकेएअर कण्डीशनर का स्विच ख़राब हो गया हैऔर मजबूरी में वेजेठ की तपती दुपहरी मेंमहज कूलर के भरोसे ही सोते हैं ।~,Hindi,Sadness
2583,कौन तुम~त्रयोदशी के चाँद सातुम्हारे जीवन में मैंसंयोग की तरह घटित हुआ ।और समझ सकाकि अंकों के विषम अवकाश के बीचभाषा के सीमान्त परफूल खिलाने का समयआ गया है ।~,Hindi,Nature
2584,कैप्सूल~दिन मेंउतनी ही बारनिगलनी हैं गोलियाँजितनी बार कहते थे--सुनिये...कि ज़िन्दा होने केकुछ तो भरमबाकी रहेंघुलनशील कैप्सूलसुन्दर दिखता हैलेकिन कड़वा है~,Hindi,Sadness
2585,ऎसा क्यों होता है?-5~ऎसा क्यों होता है-कि कविअक्सरफैंसी-ड्रेस प्रतियोगिता मेंभाग लेने कोलालायित रहता हैयहजानते हुए भीकि अगर वह जीतेगातोउसकी कविताजार-जार रोएगी~,Hindi,Philosophy
2586,आवाज़~आवाज़चहुँ ओर हैशोर बहुततभी सुनाई देती नहीहिम खंड केपिघलने की आवाज़बंज़र होते खेतों की तड़पगाँव केसूखे कुँए की पुकारधरती में नीचे जातेजल स्तर की चीख~,Hindi,Fear
2587,लिख तो दूं बर्फ पर तुम्हारा नाम~लिख तो दूं बर्फ पर तुम्हारा नामलेकिन इक डर है मेरे दिल में मकींबर्फ की अनगिनत तहों के तलेदब न जाये तुम्हारा नाम कहीं।~,Hindi,Fear
2588,प्रेम-11~प्रेम मेंअगन पाखी उड़ता हैभीतर ही भीतरभीतर हीभस्म होते हमखोजते रहते हैंअपने हिस्से की मृत्युप्रेम के लिएसिर्फ़ जीवन ही नहींमरण भीउतना ही ज़रूरी है...!~,Hindi,Love
2589,कविता में~कविता मेंलिखी हैं ये पंक्तियांएक जना खोलता बोतलटलमलाते हाथों सेढाल रहा जामदूसराखींच रहा है आंखों सेमेरा पाठक बांच रहा है यह  कविताढूंढते हुए कविता~,Hindi,Philosophy
2590,आज दधि कंचन मोल भई~आज दधि कंचन मोल भई।जा दधि को ब्रह्मादिक इच्छत सो गोपन बांटि दई॥१॥दधि के पलटे दुलरी दीनी जसुमति खबर भई।परमानंददास को ठाकुर वरवट प्रीति नई॥२॥~,Hindi,Devotion
2591,"चाँद~मम्मी से यों रोकर बोली-मेरी जीजी नंदा-जाऊँगी स्कूल तभी, जबदिखला दोगी चंदा!मम्मी बोली-चुप रह बिटियाकहना मेरा मान,पापा जी का हैट हटाकरउधर देख आ चाँद।~",Hindi,Happiness
2592,"झूठ-मूठ का खेल~यह छोटी-कार है,मगर धमाकेदार है।जल्दी टिकट कटाओ जी,चलने को तैयार है!इधर खड़ी यह रेल है,कैसी रेलम-पेल है।करो बैठने का नाटक,झूठ मूठ का खेल है।~",Hindi,Happiness
2593,हो न रंगीन तबीयत~हो न रंगीन तबीयत भी किसी की या रबआदमी को यह मुसीबत में फँसा देती हैनिगहे-लुत्फ़ तेरी बादे-बहारी है मगरगुंचए-ख़ातिरे-आशिक़ को खिला देती है~,Hindi,Sadness
2594,दंड की धाराएँ उन के हाथ में हैं~दंड की धाराएँ उन के हाथ में हैंसारी संहिताएँ उन के हाथ में हैंआप बेगुनाह रहें कि हों शरीफ हीआप की रेखाएँ उन के हाथ में हैं।~,Hindi,Sadness
2595,सीखना~बादलों कीप्रदक्षिणा सेसीख रहा हूँद्वन्द्वरहितअन्तहीनभिगोने की कलाक्याइस अनुभूति मेंअन्तर्लीन होनासाक्षात्कार कीसहमति हैया फिरथाहकिन्हीकल-कलस्मृतियों की।~,Hindi,Philosophy
2596,पर-स्त्री~दूसरी औरत के तिलस्ममें फिसलते रहे तुम्हारेहाथ कान नाक आंखेंउम्र भर...अब वही हाथपांव नाक और आंख मुझेछुएं?मुझे जूठे बर्तनों सेघिन आती है...!~,Hindi,Sadness
2597,बहुत सुंदर~बहुत सुंदर एक औरत नेबहुत सुंदर दूसरी बच्ची कोदिया है जन्मऔर हो गई है बहुत उदासगहन उदासी में डूबीबहुत सुंदर इस पृथ्वी को अबकैसे कहूँ मैं बहुत सुंदर!~,Hindi,Sadness
2598,"अंजुमन~सफ़-ब-सफ़,चाँद से मुझ तकसभी तारे थे खड़े…उसी रस्ते से उतरते हुए देखा था उसे,दिल में इक राहबनाताचला गया था मेरे…चाँद सचमुच हीअंजुमन में उतर आया था!~",Hindi,Love
2599,"हाथी दादा~हाथी दादा चले घूमने होकर जब तैयार,बाहर उनके लिए जीप सी खड़ी हुई थी कार।उसके भीतर ज्यों ही दादा होने लगे सवार,टायर फटा बोझ से भाई कार हुई बेकार।~",Hindi,Happiness
2600,आँसुओं का खजाना~एक आँसूउसके लिएजो अपना ना बन सकाएक आँसूअपना बनने कादिखावा करने वाले के लिएएक आँसूअपने आप सेदोस्ती करवाने बाले के लिएआँसुओं का खजानाखत्म हो गया~,Hindi,Sadness
2601,वरना भूल चुका होता बहुत कुछ~थोड़ी-सी मिट्टीथोड़ी-सी हवाथोड़ी-सी धूपथोड़ा-सा पानी लेकरमैं आया था यहाँआज सोचता हूँअच्छा हुआ खाली हाथवरना भूल चुका होताबहुत कुछ ।~,Hindi,Happiness
2602,उसने मेरे बेगानेपन को ही~उसने मेरेबेगानेपन को हीछेड़ दियादूध मुँहे पाड़े कोमाँ से दूर खदेड़ दियाउभर रहेस्वेटर का पूरा ऊनउधेड़ दियाउपजाऊ धरती केबँटवारे कामेड़ दिया~,Hindi,Sadness
2603,स्त्री अबोली~स्त्री बोली- ना...(वह बोला नखरे दिखाती है साली....)स्त्री बोली- हां (वह बोला चालू है यार....)स्त्री चूप रही (वह जाने क्या क्या बोल रहा है अब तक....)~,Hindi,Anger
2604,पेड़-8~पेड़ पर लिखते-लिखतेकई लोग पेड़ हो गएऔर बोलते-बोलते पेड़ की तरह मौनपर अफ़सोस !पेड़ों को लेकरवर्षों से चल रही बहस में शामिल लोगआज पेड़ क्यों नहीं हो जाते ?~,Hindi,Sadness
2605,राजधानी में बैल 1~बादलों को सींग पर उठाएखड़ा है आकाश की पुलक के नीचेएक बूँद के अचानक गिरने सेदेर तक सिहरती रहती है उसकी त्वचादेखता हुआ उसेभीगता हूँ मैंदेर तक ।~,Hindi,Love
